[0, 2511]	[0, 2354]
[0, 3540]	[0, 2012]
[0, 2852]	[0, 1473]
[0, 5761]	[0, 3835]
[2247, 3057]	[2245, 3087]
[2351, 5464]	[2293, 5674]
[2559, 5815]	[2547, 5982]
[3043, 5454]	[3004, 5585]
[4389, 9631]	[4389, 9877]
[4737, 6523]	[4703, 6572]
[5184, 6260]	[5184, 6288]
[5363, 9359]	[5345, 9656]
[5462, 6770]	[5451, 6826]
[5724, 7698]	[5719, 7715]
[6689, 9442]	[6661, 9597]
[7023, 10725]	[6932, 10995]
[9133, 9975]	[9133, 10038]
[9487, 10300]	[9468, 10376]
[10537, 13603]	[10531, 13732]
[10667, 13796]	[10627, 14012]
[11516, 13782]	[11501, 13913]
[12474, 16856]	[12474, 17057]
[12726, 14462]	[12702, 14650]
[12936, 15100]	[12925, 15300]
[13147, 15621]	[13147, 15717]
[14982, 17494]	[14917, 17732]
[15888, 20395]	[15884, 20656]
[17248, 22675]	[17243, 22897]
[17777, 19460]	[17777, 19557]
[19175, 21006]	[18092, 21241]
[18385, 19255]	[18385, 19311]
[18792, 22742]	[18777, 22950]
[18949, 21908]	[18924, 22043]
[19200, 25937]	[19170, 26438]
[19253, 26222]	[19218, 26669]
[19458, 20740]	[19458, 20813]
[20855, 25175]	[20768, 25441]
[21442, 25377]	[21411, 25657]
[22046, 22660]	[22027, 22725]
[22918, 25980]	[22910, 26205]
[23350, 24231]	[23283, 24313]
[24334, 25136]	[24315, 25221]
[24344, 27627]	[24318, 27783]
[24441, 25858]	[24440, 25984]
[25816, 27136]	[25814, 27238]
[26027, 28687]	[26027, 28874]
[26335, 28475]	[26308, 28583]
[26423, 28372]	[26414, 28384]
[27761, 29947]	[27761, 30055]
[28473, 32322]	[28467, 32491]
[28484, 29998]	[28481, 30065]
[29011, 31114]	[29011, 31259]
[29087, 33214]	[29025, 33485]
[30274, 33411]	[30266, 33504]
[30605, 31518]	[30484, 31575]
[31374, 33071]	[31374, 33155]
[31794, 32906]	[31794, 32999]
[32927, 37510]	[32927, 37601]
[33227, 34699]	[33143, 34759]
[33174, 36848]	[33174, 37072]
[33253, 34385]	[33225, 34476]
[36733, 39579]	[36733, 39686]
[36779, 38911]	[36740, 39086]
[37523, 39823]	[37505, 39965]
[37559, 39698]	[37550, 39825]
[37589, 38434]	[37582, 38508]
[37890, 38404]	[37881, 38435]
[37919, 40031]	[37904, 40288]
[37967, 39996]	[37947, 40874]
[40650, 44136]	[38482, 44273]
[42075, 45589]	[42057, 45670]
[42479, 45108]	[42461, 45273]
[42525, 45540]	[42516, 45645]
[43278, 45390]	[43272, 45485]
[43665, 45983]	[43664, 46106]
[45115, 52411]	[45017, 52863]
[45553, 52460]	[45536, 52739]
[45659, 48701]	[45656, 48920]
