segment length: 1355	score: 701.278


segment length: 1373	score: 634.009


segment length: 3017	score: 1362.88


segment length: 4424	score: 1957.33


segment length: 3675	score: 2057.16


segment length: 1689	score: 624.778


segment length: 3024	score: 1450.94


segment length: 911	score: 455.089


segment length: 1834	score: 794.81


segment length: 4974	score: 2265.69


segment length: 1251	score: 700.602


segment length: 1561	score: 677.252


segment length: 3336	score: 1541.49


segment length: 2608	score: 854.369


segment length: 7863	score: 2429.19
5053 5681 0	14100 14728

5300 5949 28.9353	14347 14996


segment length: 1143	score: 754.895


segment length: 2492	score: 1139.67


segment length: 1444	score: 481.274


segment length: 5148	score: 860.587
0 0 inf	12174 12174

1900 2624 33.3374	14074 14798


segment length: 2454	score: 547.243
471 1079 0	14127 14735

400 1099 22.3424	14056 14755


segment length: 4681	score: 2337.24


segment length: 1608	score: 614.649


segment length: 9067	score: 2057.52


segment length: 2262	score: 1108.51


segment length: 2183	score: 1115.71


segment length: 1314	score: 613.177


segment length: 1490	score: 717.967


segment length: 1566	score: 755.376


segment length: 2137	score: 652.975


segment length: 4999	score: 2829.81


segment length: 3756	score: 1785.87


segment length: 1023	score: 397.341


segment length: 1015	score: 563.943


segment length: 1083	score: 468.437


segment length: 1393	score: 602.362


segment length: 3144	score: 1882.73


segment length: 3877	score: 1767.61


segment length: 1729	score: 720.45


segment length: 1925	score: 950.804


segment length: 1613	score: 852.509


segment length: 2270	score: 1123.75


segment length: 4054	score: 1664.59


segment length: 2868	score: 1342.99


segment length: 2092	score: 965.064


segment length: 4128	score: 2544.81


segment length: 2760	score: 1322.04


segment length: 3110	score: 1437.74


segment length: 3665	score: 1386.04


segment length: 1079	score: 442.775


segment length: 3884	score: 2293.21


segment length: 8471	score: 3107.82


segment length: 1624	score: 524.659


segment length: 3513	score: 1854.58


segment length: 3218	score: 1343.11


segment length: 2728	score: 1137.74


segment length: 3857	score: 1601.89


segment length: 1727	score: 560.592


segment length: 6855	score: 2906.7


segment length: 2197	score: 948.51


segment length: 4419	score: 1996.8


segment length: 5356	score: 2803.13


segment length: 1428	score: 758.786


segment length: 2384	score: 1015.49


segment length: 2830	score: 1157.94


segment length: 3691	score: 1396.9


segment length: 3415	score: 1719.88


segment length: 1950	score: 1017.64


segment length: 1758	score: 880.637


segment length: 6311	score: 3241.84


segment length: 1664	score: 943.621


segment length: 3693	score: 1511.83


segment length: 2562	score: 1358.72


segment length: 4085	score: 2030.64


segment length: 2306	score: 1067.12


segment length: 1756	score: 798.834


segment length: 6088	score: 2838.94


segment length: 4048	score: 1685.97


segment length: 746	score: 253.403


segment length: 2147	score: 864.929


segment length: 5918	score: 3209.43


segment length: 5764	score: 2201.13


segment length: 8893	score: 5310.15


segment length: 3209	score: 1225.74


segment length: 1134	score: 528.513


segment length: 1597	score: 740.97


segment length: 1750	score: 811.461


