segment length: 7863	score: 2429.19
INV 5300 5949 28.9353	14347 14996

segment length: 5148	score: 860.587
INS 1900 2624 33.3374	14074 14798

segment length: 2454	score: 547.243
INV 400 1099 22.3424	14056 14755

segment length: 1137	score: 466.626
DEL 1058 1353 0	100305 100600

segment length: 3126	score: 1435.75
DEL 2890 3501 3.43886	103699 104310

segment length: 5427	score: 1228.57
INV 2525 3174 32.8201	103456 104105

segment length: 5360	score: 1089.51
INV 2450 3049 36.2764	103520 104119

segment length: 3218	score: 1400.01
INS 1775 1899 33.3498	167716 167840

segment length: 8802	score: 2682.75
DEL 6748 7656 0	306167 307075

segment length: 9419	score: 2031.58
DEL 5794 6693 0	306163 307062

segment length: 3244	score: 1129.78
DEL 2500 3360 0	306209 307069

segment length: 6731	score: 2608.86
DEL 395 1179 2.32046	306262 307046

segment length: 1722	score: 535.042
DEL 352 596 0	306622 306866

segment length: 8539	score: 1434.22
DEL 7855 8676 0	611737 612558

segment length: 2877	score: 1180.47
INS 75 199 37.2107	620181 620305

segment length: 7461	score: 2586.1
DEL 7056 7390 0	693661 693995

segment length: 8579	score: 3430.18
DEL 6804 7580 0	703747 704523

segment length: 2652	score: 973.208
INS 2350 2474 38.066	737849 737973

segment length: 3660	score: 1558.04
INS 3050 3349 29.5776	903572 903871

segment length: 3583	score: 866.233
INS 1575 1824 36.9121	903143 903392

segment length: 1671	score: 621.789
INS 175 449 17.5449	903151 903425

segment length: 7487	score: 2025.27
DEL 4074 4517 0	950827 951270

segment length: 8802	score: 1996.56
DEL 3657 4121 0	950802 951266

segment length: 1733	score: 589.039
DEL 226 630 1.42079	950805 951209

segment length: 3030	score: 753.699
INV 1700 2649 28.7608	999779 1000728

segment length: 3886	score: 1335.59
DEL 5825 6510 4.13127	1005827 1006512

segment length: 914	score: 103.159
DEL 939 1485 3.50049	1000992 1001538

segment length: 3819	score: 1676.73
DEL 3143 4012 0	1059384 1060253

segment length: 2436	score: 608.69
DEL 2349 2787 3.10278	1061749 1062187

segment length: 1612	score: 270.79
DEL 1851 2174 0	1086965 1087288

segment length: 1843	score: 671.972
INS 675 799 38.9608	1158949 1159073

segment length: 3571	score: 1481.33
DEL 2859 3643 4.08111	1187865 1188649

segment length: 2830	score: 664.438
INV 600 1274 29.8729	1187774 1188448

segment length: 2957	score: 1227.19
INS 1225 1349 23.7621	1265350 1265474

segment length: 2875	score: 1420.62
INS 200 324 26.2697	1265310 1265434

segment length: 8856	score: 2574.71
INV 3025 4024 31.8496	1402883 1403882

segment length: 2837	score: 1037.84
DEL 2090 2477 0	1402923 1403310

segment length: 3759	score: 773.328
INS 1350 2324 34.3583	1402872 1403846

segment length: 3733	score: 1160.23
INV 525 974 28.8502	1584705 1585154

segment length: 2148	score: 429.439
